"IDLENGINDIG","DESCRIP"
"0000","N/A"
"01","FAMILIA HOKANA"
"011","SUBFAMILIA YUMANO"
"0111","PAIPAI"
"0112","KILIWA"
"0113","CUCAPA"
"0114","COCHIMI"
"0115","KUMIAI"
"012","SUBFAMILIA SERI"
"0121","SERI"
"013","SUBFAMILIA TEQUISTLATECA"
"0131","CHONTAL DE OAXACA"
"02","FAMILIA CHINANTECA"
"020","SUBFAMILIA CHINANTECO"
"0200","CHINANTECO"
"021","SUBFAMILIA OJITECO"
"0211","CHINANTECO DE OJITLAN"
"0212","CHINANTECO DE USILA"
"022","SUBFAMILIA DE QUIOTEPEC"
"0221","CHINANTECO DE QUIOTEPEC"
"0222","CHINANTECO DE YOLOX"
"0223","CHINANTECO DE SOCHIAPAN"
"023","SUBFAMILIA DE PALANTLA"
"0231","CHINANTECO DE PALANTLA"
"0232","CHINANTECO DE VALLE NACIONAL"
"024","SUBFAMILIA DE LALANA"
"0241","CHINANTECO DE LALANA"
"0242","CHINANTECO DE LATANI"
"0243","CHINANTECO DE PETLAPA"
"03","FAMILIA OTOPAME"
"031","SUBFAMILIA PAMEANO"
"0311","PAME"
"032","SUBFAMILIA CHICHIMECA"
"0321","CHICHIMECA JONAZ"
"033","SUBFAMILIA OTOMIANO"
"0331","OTOMI"
"0332","MAZAHUA"
"034","SUBFAMILIA MATLAZINCANO"
"0341","MATLATZINCA"
"0342","OCUILTECO"
"04","FAMILIA OAXAQUEÑA"
"040","SUBFAMILIA ZAPOTECO"
"0400","ZAPOTECO"
"041","SUBFAMILIA SERRANO NORTEÑO"
"0411","ZAPOTECO DE IXTLAN"
"0412","ZAPOTECO VIJANO"
"0413","ZAPOTECO DEL RINCON"
"042","SUBFAMILIA DE LOS VALLES"
"0421","ZAPOTECO VALLISTA"
"0422","ZAPOTECO DEL ISTMO"
"043","SUBFAMILIA SUREÑO"
"0431","ZAPOTECO DE CUIXTLA"
"0432","SOLTECO"
"0433","ZAPOTECO SUREÑO"
"044","SUBFAMILIA CHATINO"
"0441","CHATINO"
"0442","PAPABUCO"
"045","SUBFAMILIA MIXTECO"
"0450","MIXTECO"
"0451","MIXTECO DE LA COSTA"
"0452","MIXTECO DE LA MIXTECA ALTA"
"0453","MIXTECO DE LA MIXTECA BAJA"
"0454","MIXTECO DE LA ZONA MAZATECA"
"0455","MIXTECO DE PUEBLA"
"0456","TACUATE"
"046","SUBFAMILIA CUICATECO"
"0461","CUICATECO"
"047","SUBFAMILIA TRIQUE"
"0471","TRIQUI"
"048","SUBFAMILIA AMUZGO"
"0481","AMUZGO"
"049","SUBFAMILIA MAZATECANO"
"0491","MAZATECO"
"0492","CHOCHO"
"0493","IXCATECO"
"0494","POPOLOCA"
"05","FAMILIA HUAVE"
"051","SUBFAMILIA HUAVE"
"0511","HUAVE"
"06","FAMILIA TLAPANECA"
"061","SUBFAMILIA TLAPANECA"
"0611","TLAPANECO"
"07","FAMILIA TOTONACA"
"071","SUBFAMILIA TOTONACA"
"0711","TOTONACA"
"0712","TEPEHUA"
"08","FAMILIA MIXE-ZOQUE"
"080","SUBFAMILIA POPOLUCA"
"0800","POPOLUCA"
"081","SUBFAMILIA MIXE"
"0811","MIXE"
"0812","POPOLUCA DE OLUTA"
"082","SUBFAMILIA ZOQUE"
"0821","POPOLUCA DE LA SIERRA"
"0822","POPOLUCA DE TEXISTEPEC"
"0823","ZOQUE"
"09","FAMILIA MAYA"
"091","SUBFAMILIA DEL GOLFO"
"0911","HUASTECO"
"092","SUBFAMILIA PENINSULAR"
"0921","LACANDON"
"0922","MAYA"
"093","SUBFAMILIA CHOL-TZELTALANO"
"0931","CHOL"
"0932","CHONTAL DE TABASCO"
"0933","TZELTAL"
"0934","TZOTZIL"
"0935","TOJOLABAL"
"0936","CHUJ"
"094","SUBFAMILIA MAMEANO"
"0941","MAME"
"0942","IXIL"
"0943","AGUACATECO"
"095","SUBFAMILIA MOTOCINTLECO"
"0951","MOTOCINTLECO"
"096","SUBFAMILIA JACALTECO"
"0961","KANJOBAL"
"0962","JACALTECO"
"097","SUBFAMILIA QUICHEANO"
"0971","QUICHE"
"0972","CAKCHIQUEL"
"098","SUBFAMILIA KEKCHI"
"0981","KEKCHI"
"10","FAMILIA YUTOAZTECA"
"101","SUBFAMILIA PIMANO"
"1011","PIMA"
"1012","PAPAGO"
"1013","TEPEHUAN"
"102","SUBFAMILIA TARAHUMAREÑO"
"1021","TARAHUMARA"
"1022","MAYO"
"1023","YAQUI"
"1024","OPATA"
"1025","GUARIJIO"
"103","SUBFAMILIA HUICHOLEÑO"
"1031","CORA"
"1032","HUICHOL"
"104","SUBFAMILIA AZTECANO"
"1041","NAHUATL"
"11","FAMILIA TARASCA"
"111","SUBFAMILIA TARASCO"
"1111","PUREPECHA"
"12","FAMILIA ALGONQUINA"
"121","SUBFAMILIA ALGONQUINO"
"1211","KIKAPU"
"13","FAMILIA ESPECIALES"
"131","SUBFAMILIA ESPECIALES"
"1311","CHONTAL"
"5010","OTRAS LENGUAS INDIGENAS EN MEXICO"
"5020","OTRAS LENGUAS INDIGENAS DE AMERICA"
"9999","N.E."
