"EDO","DESCRIP"
"01","AGUASCALIENTES"
"02","BAJA CALIFORNIA"
"03","BAJA CALIFORNIA SUR"
"04","CAMPECHE"
"05","COAHUILA DE ZARAGOZA"
"06","COLIMA"
"07","CHIAPAS"
"08","CHIHUAHUA"
"09","DISTRITO FEDERAL"
"10","DURANGO"
"11","GUANAJUATO"
"12","GUERRERO"
"13","HIDALGO"
"14","JALISCO"
"15","MEXICO"
"16","MICHOACAN DE OCAMPO"
"17","MORELOS"
"18","NAYARIT"
"19","NUEVO LEON"
"20","OAXACA"
"21","PUEBLA"
"22","QUERETARO  DE ARTEAGA"
"23","QUINTANA ROO"
"24","SAN LUIS POTOSI"
"25","SINALOA"
"26","SONORA"
"27","TABASCO"
"28","TAMAULIPAS"
"29","TLAXCALA"
"30","VERACRUZ DE IGNACIO DE LA LLAVE"
"31","YUCATAN"
"32","ZACATECAS"
"33","ESTADOS UNIDOS DE NORTEAMERICA"
"34","OTROS PAISES DE LATINOAMERICA"
"35","OTROS PAISES"
"36","ESTADOS UNIDOS MEXICANOS"
"99","N.E."
